company,role,location,skills,description
XYZ AI Labs,AI Intern,Ahmedabad,"Python,Machine Learning,RAG","Work on AI models, assist in building RAG-based systems, and support ML experiments."
DataSpark,Data Science Intern,Gandhinagar,"Python,Pandas,Data Analysis","Analyze datasets, clean data, and support data-driven insights."
SecureNet,Cybersecurity Intern,Remote,"Networking,Linux,Security Basics","Assist with security audits, vulnerability assessments, and monitoring systems."
Webify Solutions,Web Developer Intern,Surat,"HTML,CSS,JavaScript,React","Build responsive web interfaces and integrate frontend components with APIs."
TechNova,Software Engineer Intern,Pune,"Python,APIs,Problem Solving","Develop backend services, REST APIs, and improve application performance."
CloudCore,Cloud Intern,Bangalore,"Cloud Basics,AWS,Linux","Support cloud infrastructure setup, monitoring, and cost optimization."
AI Horizon,ML Intern,Remote,"Python,Scikit-learn,ML Models","Train machine learning models and assist in model evaluation."
NetShield,IT Support Intern,Vadodara,"Networking,Windows,Linux","Provide IT support, troubleshoot systems, and assist in network maintenance."
DataWave,AI Research Intern,Mumbai,"Python,Deep Learning,Research","Assist in AI research, experiments, and documentation."
CodeCraft,Backend Intern,Ahmedabad,"Python,FastAPI,Databases","Develop backend APIs and work with databases in a microservices environment."
